year,source,measure,value
1930,Population_and_vital_statistics,abortion_total,0
1930,Population_and_vital_statistics,abortion_000_live_birth,0
1930,Population_and_vital_statistics,fertitlity_rate_total,2.84
1930,Population_and_vital_statistics,avg_life_expect_at_birth_M,48.70
1930,Population_and_vital_statistics,avg_life_expect_at_birth_F,51.80
1930,Population_and_vital_statistics,death_by_infectious_and_parasitic,23266
1930,Population_and_vital_statistics,death_by_neoplasm,8888
1930,Population_and_vital_statistics,death_by_circulatory_system_disease,0
1930,Population_and_vital_statistics,death_by_respitory_system_disease,0
1930,Population_and_vital_statistics,death_by_digestive_system_disease,0
1930,Population_and_vital_statistics,death_by_accidents,2456
1930,Population_and_vital_statistics,death_by_suicides,2680
1930,Population_and_vital_statistics,death_by_other,0
1941,Population_and_vital_statistics,population_0101_000,9316
1941,Population_and_vital_statistics,live_birth_total,177047
1941,Population_and_vital_statistics,live_birth_000_inhabitant,18.9
1941,Population_and_vital_statistics,deaths_total,123349
1941,Population_and_vital_statistics,deaths_000_inhabitant,13.2
1941,Population_and_vital_statistics,natural_incr_decr_toal,53698
1941,Population_and_vital_statistics,natural_incr_decr_000_inhabitant,5.7
1941,Population_and_vital_statistics,infant_mortality_000_live_born,115.6
1941,Population_and_vital_statistics,marriages_total,79074
1941,Population_and_vital_statistics,marriages_000_inhabitant,8.5
1941,Population_and_vital_statistics,divorces_total,6858
1941,Population_and_vital_statistics,divorces_000_inhabitant,0.5
1941,Population_and_vital_statistics,abortion_total,0
1941,Population_and_vital_statistics,abortion_000_live_birth,0
1941,Population_and_vital_statistics,fertitlity_rate_total,2.48
1941,Population_and_vital_statistics,avg_life_expect_at_birth_M,54.95
1941,Population_and_vital_statistics,avg_life_expect_at_birth_F,58.24
1941,Population_and_vital_statistics,death_by_infectious_and_parasitic,16680
1941,Population_and_vital_statistics,death_by_neoplasm,10980
1941,Population_and_vital_statistics,death_by_circulatory_system_disease,28611
1941,Population_and_vital_statistics,death_by_respitory_system_disease,15592
1941,Population_and_vital_statistics,death_by_digestive_system_disease,8036
1941,Population_and_vital_statistics,death_by_accidents,2693
1941,Population_and_vital_statistics,death_by_suicides,2522
1941,Population_and_vital_statistics,death_by_other,38235
1949,Population_and_vital_statistics,population_0101_000,9205
1949,Population_and_vital_statistics,live_birth_total,190398
1949,Population_and_vital_statistics,live_birth_000_inhabitant,20.6
1949,Population_and_vital_statistics,deaths_total,105718
1949,Population_and_vital_statistics,deaths_000_inhabitant,11.4
1949,Population_and_vital_statistics,natural_incr_decr_toal,84680
1949,Population_and_vital_statistics,natural_incr_decr_000_inhabitant,9.2
1949,Population_and_vital_statistics,infant_mortality_000_live_born,91.0
1949,Population_and_vital_statistics,marriages_total,107820
1949,Population_and_vital_statistics,marriages_000_inhabitant,11.7
1949,Population_and_vital_statistics,divorces_total,12556
1949,Population_and_vital_statistics,divorces_000_inhabitant,1.4
1949,Population_and_vital_statistics,abortion_total,0
1949,Population_and_vital_statistics,abortion_000_live_birth,0
1949,Population_and_vital_statistics,fertitlity_rate_total,2.54
1949,Population_and_vital_statistics,avg_life_expect_at_birth_M,59.28
1949,Population_and_vital_statistics,avg_life_expect_at_birth_F,63.40
1949,Population_and_vital_statistics,death_by_infectious_and_parasitic,11801
1949,Population_and_vital_statistics,death_by_neoplasm,12238
1949,Population_and_vital_statistics,death_by_circulatory_system_disease,28220
1949,Population_and_vital_statistics,death_by_respitory_system_disease,11259
1949,Population_and_vital_statistics,death_by_digestive_system_disease,5913
1949,Population_and_vital_statistics,death_by_accidents,2655
1949,Population_and_vital_statistics,death_by_suicides,2213
1949,Population_and_vital_statistics,death_by_other,31419
1950,Population_and_vital_statistics,population_0101_000,9293
1950,Population_and_vital_statistics,live_birth_total,195567
1950,Population_and_vital_statistics,live_birth_000_inhabitant,20.9
1950,Population_and_vital_statistics,deaths_total,106902
1950,Population_and_vital_statistics,deaths_000_inhabitant,11.4
1950,Population_and_vital_statistics,natural_incr_decr_toal,88665
1950,Population_and_vital_statistics,natural_incr_decr_000_inhabitant,9.5
1950,Population_and_vital_statistics,infant_mortality_000_live_born,85.7
1950,Population_and_vital_statistics,marriages_total,106261
1950,Population_and_vital_statistics,marriages_000_inhabitant,11.4
1950,Population_and_vital_statistics,divorces_total,11263
1950,Population_and_vital_statistics,divorces_000_inhabitant,1.2
1950,Population_and_vital_statistics,abortion_total,1707
1950,Population_and_vital_statistics,abortion_000_live_birth,0.9
1950,Population_and_vital_statistics,fertitlity_rate_total,2.62
1950,Population_and_vital_statistics,avg_life_expect_at_birth_M,59.88
1950,Population_and_vital_statistics,avg_life_expect_at_birth_F,64.21
1950,Population_and_vital_statistics,death_by_infectious_and_parasitic,10384
1950,Population_and_vital_statistics,death_by_neoplasm,12792
1950,Population_and_vital_statistics,death_by_circulatory_system_disease,30274
1950,Population_and_vital_statistics,death_by_respitory_system_disease,10873
1950,Population_and_vital_statistics,death_by_digestive_system_disease,6118
1950,Population_and_vital_statistics,death_by_accidents,3240
1950,Population_and_vital_statistics,death_by_suicides,2074
1950,Population_and_vital_statistics,death_by_other,31147
1951,Population_and_vital_statistics,population_0101_000,9383
1951,Population_and_vital_statistics,live_birth_total,190645
1951,Population_and_vital_statistics,live_birth_000_inhabitant,20.2
1951,Population_and_vital_statistics,deaths_total,109998
1951,Population_and_vital_statistics,deaths_000_inhabitant,11.7
1951,Population_and_vital_statistics,natural_incr_decr_toal,80647
1951,Population_and_vital_statistics,natural_incr_decr_000_inhabitant,8.5
1951,Population_and_vital_statistics,infant_mortality_000_live_born,83.9
1951,Population_and_vital_statistics,marriages_total,93362
1951,Population_and_vital_statistics,marriages_000_inhabitant,9.9
1951,Population_and_vital_statistics,divorces_total,11262
1951,Population_and_vital_statistics,divorces_000_inhabitant,1.2
1951,Population_and_vital_statistics,abortion_total,1700
1951,Population_and_vital_statistics,abortion_000_live_birth,1.0
1951,Population_and_vital_statistics,fertitlity_rate_total,2.54
1951,Population_and_vital_statistics,avg_life_expect_at_birth_M,60.05
1951,Population_and_vital_statistics,avg_life_expect_at_birth_F,64.66
1951,Population_and_vital_statistics,death_by_infectious_and_parasitic,10488
1951,Population_and_vital_statistics,death_by_neoplasm,12945
1951,Population_and_vital_statistics,death_by_circulatory_system_disease,32585
1951,Population_and_vital_statistics,death_by_respitory_system_disease,10362
1951,Population_and_vital_statistics,death_by_digestive_system_disease,6204
1951,Population_and_vital_statistics,death_by_accidents,3449
1951,Population_and_vital_statistics,death_by_suicides,2204
1951,Population_and_vital_statistics,death_by_other,31761
1952,Population_and_vital_statistics,population_0101_000,9463
1952,Population_and_vital_statistics,live_birth_total,185820
1952,Population_and_vital_statistics,live_birth_000_inhabitant,19.6
1952,Population_and_vital_statistics,deaths_total,107443
1952,Population_and_vital_statistics,deaths_000_inhabitant,11.3
1952,Population_and_vital_statistics,natural_incr_decr_toal,78377
1952,Population_and_vital_statistics,natural_incr_decr_000_inhabitant,8.3
1952,Population_and_vital_statistics,infant_mortality_000_live_born,69.9
1952,Population_and_vital_statistics,marriages_total,104836
1952,Population_and_vital_statistics,marriages_000_inhabitant,11.0
1952,Population_and_vital_statistics,divorces_total,13514
1952,Population_and_vital_statistics,divorces_000_inhabitant,1.4
1952,Population_and_vital_statistics,abortion_total,1700
1952,Population_and_vital_statistics,abortion_000_live_birth,1.1
1952,Population_and_vital_statistics,fertitlity_rate_total,2.48
1952,Population_and_vital_statistics,avg_life_expect_at_birth_M,61.69
1952,Population_and_vital_statistics,avg_life_expect_at_birth_F,66.17
1952,Population_and_vital_statistics,death_by_infectious_and_parasitic,8524
1952,Population_and_vital_statistics,death_by_neoplasm,12876
1952,Population_and_vital_statistics,death_by_circulatory_system_disease,34541
1952,Population_and_vital_statistics,death_by_respitory_system_disease,10175
1952,Population_and_vital_statistics,death_by_digestive_system_disease,4953
1952,Population_and_vital_statistics,death_by_accidents,3130
1952,Population_and_vital_statistics,death_by_suicides,2407
1952,Population_and_vital_statistics,death_by_other,30837
1953,Population_and_vital_statistics,population_0101_000,9545
1953,Population_and_vital_statistics,live_birth_total,206926
1953,Population_and_vital_statistics,live_birth_000_inhabitant,21.6
1953,Population_and_vital_statistics,deaths_total,112039
1953,Population_and_vital_statistics,deaths_000_inhabitant,11.7
1953,Population_and_vital_statistics,natural_incr_decr_toal,94887
1953,Population_and_vital_statistics,natural_incr_decr_000_inhabitant,9.9
1953,Population_and_vital_statistics,infant_mortality_000_live_born,70.8
1953,Population_and_vital_statistics,marriages_total,91621
1953,Population_and_vital_statistics,marriages_000_inhabitant,9.5
1953,Population_and_vital_statistics,divorces_total,9021
1953,Population_and_vital_statistics,divorces_000_inhabitant,0.9
1953,Population_and_vital_statistics,abortion_total,2800
1953,Population_and_vital_statistics,abortion_000_live_birth,1.0
1953,Population_and_vital_statistics,fertitlity_rate_total,2.75
1953,Population_and_vital_statistics,avg_life_expect_at_birth_M,61.87
1953,Population_and_vital_statistics,avg_life_expect_at_birth_F,65.94
1953,Population_and_vital_statistics,death_by_infectious_and_parasitic,7580
1953,Population_and_vital_statistics,death_by_neoplasm,12926
1953,Population_and_vital_statistics,death_by_circulatory_system_disease,36446
1953,Population_and_vital_statistics,death_by_respitory_system_disease,11741
1953,Population_and_vital_statistics,death_by_digestive_system_disease,5399
1953,Population_and_vital_statistics,death_by_accidents,3232
1953,Population_and_vital_statistics,death_by_suicides,1999
1953,Population_and_vital_statistics,death_by_other,32716
1954,Population_and_vital_statistics,population_0101_000,9645
1954,Population_and_vital_statistics,live_birth_total,223347
1954,Population_and_vital_statistics,live_birth_000_inhabitant,23.0
1954,Population_and_vital_statistics,deaths_total,106670
1954,Population_and_vital_statistics,deaths_000_inhabitant,11.0
1954,Population_and_vital_statistics,natural_incr_decr_toal,116677
1954,Population_and_vital_statistics,natural_incr_decr_000_inhabitant,12.0
1954,Population_and_vital_statistics,infant_mortality_000_live_born,60.7
1954,Population_and_vital_statistics,marriages_total,107368
1954,Population_and_vital_statistics,marriages_000_inhabitant,11.1
1954,Population_and_vital_statistics,divorces_total,12144
1954,Population_and_vital_statistics,divorces_000_inhabitant,1.3
1954,Population_and_vital_statistics,abortion_total,16300
1954,Population_and_vital_statistics,abortion_000_live_birth,7.2
1954,Population_and_vital_statistics,fertitlity_rate_total,2.97
1954,Population_and_vital_statistics,avg_life_expect_at_birth_M,63.53
1954,Population_and_vital_statistics,avg_life_expect_at_birth_F,67.29
1954,Population_and_vital_statistics,death_by_infectious_and_parasitic,4843
1954,Population_and_vital_statistics,death_by_neoplasm,13294
1954,Population_and_vital_statistics,death_by_circulatory_system_disease,36230
1954,Population_and_vital_statistics,death_by_respitory_system_disease,11702
1954,Population_and_vital_statistics,death_by_digestive_system_disease,4225
1954,Population_and_vital_statistics,death_by_accidents,3360
1954,Population_and_vital_statistics,death_by_suicides,1722
1954,Population_and_vital_statistics,death_by_other,31294
1955,Population_and_vital_statistics,population_0101_000,9767
1955,Population_and_vital_statistics,live_birth_total,210430
1955,Population_and_vital_statistics,live_birth_000_inhabitant,21.4
1955,Population_and_vital_statistics,deaths_total,97848
1955,Population_and_vital_statistics,deaths_000_inhabitant,10.0
1955,Population_and_vital_statistics,natural_incr_decr_toal,112582
1955,Population_and_vital_statistics,natural_incr_decr_000_inhabitant,11.4
1955,Population_and_vital_statistics,infant_mortality_000_live_born,60.0
1955,Population_and_vital_statistics,marriages_total,103020
1955,Population_and_vital_statistics,marriages_000_inhabitant,10.5
1955,Population_and_vital_statistics,divorces_total,15989
1955,Population_and_vital_statistics,divorces_000_inhabitant,1.6
1955,Population_and_vital_statistics,abortion_total,35398
1955,Population_and_vital_statistics,abortion_000_live_birth,16.8
1955,Population_and_vital_statistics,fertitlity_rate_total,2.82
1955,Population_and_vital_statistics,avg_life_expect_at_birth_M,64.77
1955,Population_and_vital_statistics,avg_life_expect_at_birth_F,68.67
1955,Population_and_vital_statistics,death_by_infectious_and_parasitic,4773
1955,Population_and_vital_statistics,death_by_neoplasm,14385
1955,Population_and_vital_statistics,death_by_circulatory_system_disease,34962
1955,Population_and_vital_statistics,death_by_respitory_system_disease,9280
1955,Population_and_vital_statistics,death_by_digestive_system_disease,4716
1955,Population_and_vital_statistics,death_by_accidents,3384
1955,Population_and_vital_statistics,death_by_suicides,2015
1955,Population_and_vital_statistics,death_by_other,24333
1956,Population_and_vital_statistics,population_0101_000,9883
1956,Population_and_vital_statistics,live_birth_total,192810
1956,Population_and_vital_statistics,live_birth_000_inhabitant,19.5
1956,Population_and_vital_statistics,deaths_total,104236
1956,Population_and_vital_statistics,deaths_000_inhabitant,10.5
1956,Population_and_vital_statistics,natural_incr_decr_toal,88574
1956,Population_and_vital_statistics,natural_incr_decr_000_inhabitant,9.0
1956,Population_and_vital_statistics,infant_mortality_000_live_born,58.8
1956,Population_and_vital_statistics,marriages_total,96133
1956,Population_and_vital_statistics,marriages_000_inhabitant,9.7
1956,Population_and_vital_statistics,divorces_total,12479
1956,Population_and_vital_statistics,divorces_000_inhabitant,1.3
1956,Population_and_vital_statistics,abortion_total,82463
1956,Population_and_vital_statistics,abortion_000_live_birth,42.8
1956,Population_and_vital_statistics,fertitlity_rate_total,2.59
1956,Population_and_vital_statistics,avg_life_expect_at_birth_M,63.55
1956,Population_and_vital_statistics,avg_life_expect_at_birth_F,68.30
1956,Population_and_vital_statistics,death_by_infectious_and_parasitic,4851
1956,Population_and_vital_statistics,death_by_neoplasm,15309
1956,Population_and_vital_statistics,death_by_circulatory_system_disease,39386
1956,Population_and_vital_statistics,death_by_respitory_system_disease,10026
1956,Population_and_vital_statistics,death_by_digestive_system_disease,4705
1956,Population_and_vital_statistics,death_by_accidents,3637
1956,Population_and_vital_statistics,death_by_suicides,1927
1956,Population_and_vital_statistics,death_by_other,24695
1957,Population_and_vital_statistics,population_0101_000,9829
1957,Population_and_vital_statistics,live_birth_total,167202
1957,Population_and_vital_statistics,live_birth_000_inhabitant,17.0
1957,Population_and_vital_statistics,deaths_total,103645
1957,Population_and_vital_statistics,deaths_000_inhabitant,10.5
1957,Population_and_vital_statistics,natural_incr_decr_toal,63557
1957,Population_and_vital_statistics,natural_incr_decr_000_inhabitant,6.5
1957,Population_and_vital_statistics,infant_mortality_000_live_born,63.1
1957,Population_and_vital_statistics,marriages_total,97992
1957,Population_and_vital_statistics,marriages_000_inhabitant,10.0
1957,Population_and_vital_statistics,divorces_total,17854
1957,Population_and_vital_statistics,divorces_000_inhabitant,1.8
1957,Population_and_vital_statistics,abortion_total,123383
1957,Population_and_vital_statistics,abortion_000_live_birth,73.8
1957,Population_and_vital_statistics,fertitlity_rate_total,2.29
1957,Population_and_vital_statistics,avg_life_expect_at_birth_M,63.99
1957,Population_and_vital_statistics,avg_life_expect_at_birth_F,68.42
1957,Population_and_vital_statistics,death_by_infectious_and_parasitic,4701
1957,Population_and_vital_statistics,death_by_neoplasm,15816
1957,Population_and_vital_statistics,death_by_circulatory_system_disease,39862
1957,Population_and_vital_statistics,death_by_respitory_system_disease,11986
1957,Population_and_vital_statistics,death_by_digestive_system_disease,4815
1957,Population_and_vital_statistics,death_by_accidents,3630
1957,Population_and_vital_statistics,death_by_suicides,2134
1957,Population_and_vital_statistics,death_by_other,20701
1958,Population_and_vital_statistics,population_0101_000,9850
1958,Population_and_vital_statistics,live_birth_total,158428
1958,Population_and_vital_statistics,live_birth_000_inhabitant,16.0
1958,Population_and_vital_statistics,deaths_total,97866
1958,Population_and_vital_statistics,deaths_000_inhabitant,9.9
1958,Population_and_vital_statistics,natural_incr_decr_toal,60562
1958,Population_and_vital_statistics,natural_incr_decr_000_inhabitant,6.1
1958,Population_and_vital_statistics,infant_mortality_000_live_born,58.1
1958,Population_and_vital_statistics,marriages_total,91439
1958,Population_and_vital_statistics,marriages_000_inhabitant,9.3
1958,Population_and_vital_statistics,divorces_total,14916
1958,Population_and_vital_statistics,divorces_000_inhabitant,1.5
1958,Population_and_vital_statistics,abortion_total,145578
1958,Population_and_vital_statistics,abortion_000_live_birth,91.9
1958,Population_and_vital_statistics,fertitlity_rate_total,2.18
1958,Population_and_vital_statistics,avg_life_expect_at_birth_M,65.27
1958,Population_and_vital_statistics,avg_life_expect_at_birth_F,69.38
1958,Population_and_vital_statistics,death_by_infectious_and_parasitic,4307
1958,Population_and_vital_statistics,death_by_neoplasm,16341
1958,Population_and_vital_statistics,death_by_circulatory_system_disease,38844
1958,Population_and_vital_statistics,death_by_respitory_system_disease,9948
1958,Population_and_vital_statistics,death_by_digestive_system_disease,4624
1958,Population_and_vital_statistics,death_by_accidents,3187
1958,Population_and_vital_statistics,death_by_suicides,2312
1958,Population_and_vital_statistics,death_by_other,18303
1959,Population_and_vital_statistics,population_0101_000,9913
1959,Population_and_vital_statistics,live_birth_total,151194
1959,Population_and_vital_statistics,live_birth_000_inhabitant,15.2
1959,Population_and_vital_statistics,deaths_total,103880
1959,Population_and_vital_statistics,deaths_000_inhabitant,10.5
1959,Population_and_vital_statistics,natural_incr_decr_toal,47314
1959,Population_and_vital_statistics,natural_incr_decr_000_inhabitant,4.7
1959,Population_and_vital_statistics,infant_mortality_000_live_born,52.4
1959,Population_and_vital_statistics,marriages_total,90313
1959,Population_and_vital_statistics,marriages_000_inhabitant,9.1
1959,Population_and_vital_statistics,divorces_total,21927
1959,Population_and_vital_statistics,divorces_000_inhabitant,2.2
1959,Population_and_vital_statistics,abortion_total,152404
1959,Population_and_vital_statistics,abortion_000_live_birth,100.8
1959,Population_and_vital_statistics,fertitlity_rate_total,2.08
1959,Population_and_vital_statistics,avg_life_expect_at_birth_M,65.01
1959,Population_and_vital_statistics,avg_life_expect_at_birth_F,69.48
1959,Population_and_vital_statistics,death_by_infectious_and_parasitic,4099
1959,Population_and_vital_statistics,death_by_neoplasm,17133
1959,Population_and_vital_statistics,death_by_circulatory_system_disease,43079
1959,Population_and_vital_statistics,death_by_respitory_system_disease,11465
1959,Population_and_vital_statistics,death_by_digestive_system_disease,4414
1959,Population_and_vital_statistics,death_by_accidents,3438
1959,Population_and_vital_statistics,death_by_suicides,2560
1959,Population_and_vital_statistics,death_by_other,17692
1960,Population_and_vital_statistics,population_0101_000,9961
1960,Population_and_vital_statistics,live_birth_total,146461
1960,Population_and_vital_statistics,live_birth_000_inhabitant,14.7
1960,Population_and_vital_statistics,deaths_total,101525
1960,Population_and_vital_statistics,deaths_000_inhabitant,10.2
1960,Population_and_vital_statistics,natural_incr_decr_toal,44936
1960,Population_and_vital_statistics,natural_incr_decr_000_inhabitant,4.5
1960,Population_and_vital_statistics,infant_mortality_000_live_born,47.6
1960,Population_and_vital_statistics,marriages_total,88566
1960,Population_and_vital_statistics,marriages_000_inhabitant,8.9
1960,Population_and_vital_statistics,divorces_total,16590
1960,Population_and_vital_statistics,divorces_000_inhabitant,1.7
1960,Population_and_vital_statistics,abortion_total,162160
1960,Population_and_vital_statistics,abortion_000_live_birth,110.7
1960,Population_and_vital_statistics,fertitlity_rate_total,2.02
1960,Population_and_vital_statistics,avg_life_expect_at_birth_M,65.89
1960,Population_and_vital_statistics,avg_life_expect_at_birth_F,70.10
1960,Population_and_vital_statistics,death_by_infectious_and_parasitic,3898
1960,Population_and_vital_statistics,death_by_neoplasm,17386
1960,Population_and_vital_statistics,death_by_circulatory_system_disease,45249
1960,Population_and_vital_statistics,death_by_respitory_system_disease,8933
1960,Population_and_vital_statistics,death_by_digestive_system_disease,4162
1960,Population_and_vital_statistics,death_by_accidents,3352
1960,Population_and_vital_statistics,death_by_suicides,2493
1960,Population_and_vital_statistics,death_by_other,16052
1961,Population_and_vital_statistics,population_0101_000,10007
1961,Population_and_vital_statistics,live_birth_total,140365
1961,Population_and_vital_statistics,live_birth_000_inhabitant,14.0
1961,Population_and_vital_statistics,deaths_total,96410
1961,Population_and_vital_statistics,deaths_000_inhabitant,9.6
1961,Population_and_vital_statistics,natural_incr_decr_toal,43955
1961,Population_and_vital_statistics,natural_incr_decr_000_inhabitant,4.4
1961,Population_and_vital_statistics,infant_mortality_000_live_born,44.1
1961,Population_and_vital_statistics,marriages_total,83072
1961,Population_and_vital_statistics,marriages_000_inhabitant,8.3
1961,Population_and_vital_statistics,divorces_total,17480
1961,Population_and_vital_statistics,divorces_000_inhabitant,1.7
1961,Population_and_vital_statistics,abortion_total,169992
1961,Population_and_vital_statistics,abortion_000_live_birth,121.1
1961,Population_and_vital_statistics,fertitlity_rate_total,1.94
1961,Population_and_vital_statistics,avg_life_expect_at_birth_M,66.71
1961,Population_and_vital_statistics,avg_life_expect_at_birth_F,71.09
1961,Population_and_vital_statistics,death_by_infectious_and_parasitic,3546
1961,Population_and_vital_statistics,death_by_neoplasm,17781
1961,Population_and_vital_statistics,death_by_circulatory_system_disease,44864
1961,Population_and_vital_statistics,death_by_respitory_system_disease,5687
1961,Population_and_vital_statistics,death_by_digestive_system_disease,4102
1961,Population_and_vital_statistics,death_by_accidents,3497
1961,Population_and_vital_statistics,death_by_suicides,2552
1961,Population_and_vital_statistics,death_by_other,14381
1962,Population_and_vital_statistics,population_0101_000,10052
1962,Population_and_vital_statistics,live_birth_total,130053
1962,Population_and_vital_statistics,live_birth_000_inhabitant,12.9
1962,Population_and_vital_statistics,deaths_total,108273
1962,Population_and_vital_statistics,deaths_000_inhabitant,10.8
1962,Population_and_vital_statistics,natural_incr_decr_toal,21780
1962,Population_and_vital_statistics,natural_incr_decr_000_inhabitant,2.1
1962,Population_and_vital_statistics,infant_mortality_000_live_born,47.9
1962,Population_and_vital_statistics,marriages_total,81354
1962,Population_and_vital_statistics,marriages_000_inhabitant,8.1
1962,Population_and_vital_statistics,divorces_total,17410
1962,Population_and_vital_statistics,divorces_000_inhabitant,1.7
1962,Population_and_vital_statistics,abortion_total,163656
1962,Population_and_vital_statistics,abortion_000_live_birth,125.8
1962,Population_and_vital_statistics,fertitlity_rate_total,1.79
1962,Population_and_vital_statistics,avg_life_expect_at_birth_M,65.60
1962,Population_and_vital_statistics,avg_life_expect_at_birth_F,70.02
1962,Population_and_vital_statistics,death_by_infectious_and_parasitic,3826
1962,Population_and_vital_statistics,death_by_neoplasm,18337
1962,Population_and_vital_statistics,death_by_circulatory_system_disease,53057
1962,Population_and_vital_statistics,death_by_respitory_system_disease,7620
1962,Population_and_vital_statistics,death_by_digestive_system_disease,4288
1962,Population_and_vital_statistics,death_by_accidents,3635
1962,Population_and_vital_statistics,death_by_suicides,2502
1962,Population_and_vital_statistics,death_by_other,15008
1963,Population_and_vital_statistics,population_0101_000,10074
1963,Population_and_vital_statistics,live_birth_total,132335
1963,Population_and_vital_statistics,live_birth_000_inhabitant,13.1
1963,Population_and_vital_statistics,deaths_total,99871
1963,Population_and_vital_statistics,deaths_000_inhabitant,9.9
1963,Population_and_vital_statistics,natural_incr_decr_toal,32464
